step,hand_qpos_l2,piano_state_iou,sim_keys,ref_keys,goal_keys
295,1.3239213228225708,0.0,"[43, 44]","[29, 41, 48]","[29, 41, 48]"
296,1.3395477533340454,0.0,"[43, 44]","[29, 41, 48]","[29, 41, 48]"
297,1.3540376424789429,0.0,"[43, 44]","[29, 41, 48]","[29, 41, 48]"
298,1.2878501415252686,0.0,"[43, 44]","[29, 41, 48]","[29, 41, 48]"
299,1.5275410413742065,0.0,"[43, 44]","[29, 41, 48]","[29, 41, 48]"
300,1.712445616722107,0.0,[44],"[29, 41, 48]","[29, 41, 48]"
301,1.7080950736999512,0.0,[],"[29, 41, 48]","[27, 41, 48, 57]"
302,1.5217626094818115,0.0,[],[41],"[27, 57]"
303,1.2789809703826904,0.0,[],[],"[27, 57]"
304,1.480919599533081,0.0,[54],[],"[27, 57]"
305,1.243701457977295,0.0,[],[57],"[27, 55, 57]"
306,1.4543156623840332,0.0,[],"[29, 55, 57]","[27, 55]"
307,1.4821090698242188,0.0,[],"[27, 55]","[27, 55]"
308,1.75388503074646,0.0,[],"[27, 55]","[27, 55, 57]"
309,1.7434816360473633,0.0,[],"[27, 55, 57]","[27, 57]"
310,1.273441195487976,0.0,[],"[27, 55, 57]","[27, 57]"
311,1.3339523077011108,0.0,[],"[27, 57]","[27, 57]"
312,1.4993016719818115,0.0,[],"[27, 57]","[27, 57]"
313,1.3372020721435547,0.0,[],"[26, 27, 57]","[27, 57]"
314,1.2661501169204712,0.0,[],"[27, 57]","[27, 57]"
315,1.4095109701156616,0.0,[],"[27, 57]","[27, 57]"
316,1.4851865768432617,0.0,[],"[27, 57]","[27, 57]"
317,1.5498565435409546,0.0,[],"[27, 57]","[27, 57]"
318,1.5454747676849365,0.0,[],"[27, 57]","[27, 57]"
319,1.4234591722488403,0.0,[],"[27, 57]","[27, 57]"
320,1.5143101215362549,0.0,[],"[27, 57]","[27, 57]"
321,1.422727346420288,0.0,[],"[27, 57]","[27, 57]"
322,1.420985460281372,0.0,[],"[27, 57]","[27, 57]"
323,1.573623538017273,0.0,[],"[27, 57]","[27, 57]"
324,1.5990029573440552,0.0,[],"[27, 57]","[27, 57]"
325,1.6224842071533203,0.0,[],"[27, 57]","[27, 57]"
326,1.3251776695251465,0.0,[],"[27, 57]","[27, 36, 57]"
327,1.6788408756256104,0.0,[],[57],"[27, 36, 57]"
328,1.9592746496200562,0.0,[],[57],"[27, 36, 57]"
329,1.9995017051696777,0.0,[],"[26, 27, 57]","[27, 36, 57]"
330,2.2143325805664062,0.0,[],"[26, 27, 57]","[27, 36, 57]"
331,2.0839617252349854,0.0,[],"[27, 57]","[27, 36, 57]"
332,2.0837390422821045,0.0,[],"[27, 36, 57]","[27, 36, 57]"
333,2.176050901412964,0.0,[],"[27, 36, 57]","[27, 36, 57]"
334,2.231823682785034,0.0,[],"[27, 36, 57]","[27, 36, 57]"
335,2.1707611083984375,0.0,[],"[27, 36, 57]","[27, 36, 57]"
336,2.1954293251037598,0.0,[],"[27, 36, 57]","[27, 36, 57]"
337,2.2548272609710693,0.0,[],"[27, 36, 57]","[27, 36, 57]"
338,2.2563188076019287,0.0,[],"[27, 36, 57]","[27, 36, 57]"
339,1.6020148992538452,0.0,[],"[27, 36, 57]","[27, 36, 57, 58]"
340,1.5744245052337646,0.0,[54],"[27, 36, 57]","[27, 36, 58]"
341,1.5896867513656616,0.0,[54],"[27, 36]","[27, 36, 58]"
342,1.5391789674758911,0.0,[],"[27, 36, 56]","[27, 36, 58]"
343,1.5519863367080688,0.0,[],"[27, 36, 56, 58]","[27, 36, 58]"
344,1.5927150249481201,0.0,[30],"[27, 36, 58]","[27, 36, 58]"
345,1.5842559337615967,0.0,[],"[27, 36, 58]","[27, 36, 58]"
346,1.348816156387329,0.0,"[32, 55]","[27, 36, 58]","[27, 36, 58]"
347,1.423110008239746,0.0,[55],"[27, 29, 36, 58]","[27, 36, 58]"
348,1.579087495803833,0.0,[55],"[27, 29, 36, 58]","[27, 36, 58]"
349,1.5029634237289429,0.0,[55],"[27, 36, 58]","[27, 36, 58]"
350,1.347261667251587,0.0,[55],"[27, 36, 58]","[27, 36, 58]"
351,1.967165231704712,0.0,[],"[27, 36, 58]","[36, 57]"
352,1.1646273136138916,0.0,[],"[27, 36, 57]","[27, 36, 57]"
353,1.2395869493484497,0.0,[],"[27, 36, 57, 59]","[27, 36, 57]"
354,1.2697186470031738,0.0,[],"[27, 29, 36, 57, 59]","[27, 36, 55, 57]"
355,1.2937008142471313,0.25,[55],"[27, 36, 55, 57]","[27, 36, 55]"
356,1.1056443452835083,0.3333333333333333,[55],"[27, 36, 55]","[27, 36, 55]"
